Quality,Time,LR_pair,SignalStrength,n_samples,platform
gamma,0-0.5h,AT1G01900->AT2G02220,316.3173205992136,16,rnaseq
gamma,0-0.5h,AT1G01900->AT3G02130,319.74473466426497,16,rnaseq
gamma,0-0.5h,AT1G01980->AT5G10770,38.70171392289211,16,rnaseq
gamma,0-0.5h,AT1G02640->AT5G09870,445.4134424350969,16,rnaseq
gamma,0-0.5h,AT1G02640->AT4G13800,192.18273964653793,16,rnaseq
gamma,0-0.5h,AT1G02790->AT4G14815,0.005328400924654866,16,rnaseq
gamma,0-0.5h,AT1G02790->AT5G49720,14.793889099011487,16,rnaseq
gamma,0-0.5h,AT1G02810->AT1G11050,361.9559727559346,16,rnaseq
gamma,0-0.5h,AT1G02810->AT3G54920,392.82158935094327,16,rnaseq
gamma,0-0.5h,AT1G02810->AT5G49770,283.7612790604419,16,rnaseq
gamma,0-0.5h,AT1G02900->AT2G05940,389.39550148971625,16,rnaseq
gamma,0-0.5h,AT1G02900->AT3G46290,394.8187160562377,16,rnaseq
gamma,0-0.5h,AT1G02900->AT5G28680,7.395469775954715,16,rnaseq
gamma,0-0.5h,AT1G02900->AT5G54380,426.0213858795639,16,rnaseq
gamma,0-0.5h,AT1G02900->AT3G04690,253.1571111503772,16,rnaseq
gamma,0-0.5h,AT1G02900->AT3G51550,439.2608566370721,16,rnaseq
gamma,0-0.5h,AT1G02900->AT1G30570,378.289495622594,16,rnaseq
gamma,0-0.5h,AT1G02900->AT4G28280,101.91525410866504,16,rnaseq
gamma,0-0.5h,AT1G02900->AT5G56170,402.9957802266015,16,rnaseq
gamma,0-0.5h,AT1G02900->AT2G20700,89.09617667175296,16,rnaseq
gamma,0-0.5h,AT1G02900->AT4G26466,66.82733364655665,16,rnaseq
gamma,0-0.5h,AT1G04110->AT5G07180,246.51345906828047,16,rnaseq
gamma,0-0.5h,AT1G04110->AT1G63700,296.66991709960763,16,rnaseq
gamma,0-0.5h,AT1G04110->AT4G20940,240.80229395966336,16,rnaseq
gamma,0-0.5h,AT1G04110->AT1G80080,234.94393461952527,16,rnaseq
gamma,0-0.5h,AT1G04110->AT5G62230,199.0685140442667,16,rnaseq
gamma,0-0.5h,AT1G05240->AT4G40090,100.95270523310462,16,rnaseq
gamma,0-0.5h,AT1G05250->AT4G40090,353.43877955917367,16,rnaseq
gamma,0-0.5h,AT1G05850->AT4G32410,491.8189540596365,16,rnaseq
gamma,0-0.5h,AT1G05850->AT3G15380,439.58915455355213,16,rnaseq
gamma,0-0.5h,AT1G05850->AT5G15630,378.5783221602327,16,rnaseq
gamma,0-0.5h,AT1G05850->AT4G12730,466.0562102852664,16,rnaseq
gamma,0-0.5h,AT1G05850->AT5G49720,492.57604607992664,16,rnaseq
gamma,0-0.5h,AT1G05850->AT4G23400,466.2097215093847,16,rnaseq
gamma,0-0.5h,AT1G05850->AT5G60920,479.4162689207092,16,rnaseq
gamma,0-0.5h,AT1G05850->AT2G22125,485.48206305440084,16,rnaseq
gamma,0-0.5h,AT1G05850->AT5G05170,494.46316430726773,16,rnaseq
gamma,0-0.5h,AT1G06225->AT1G75820,27.36051115704164,16,rnaseq
gamma,0-0.5h,AT1G07230->AT3G15730,453.6281332918211,16,rnaseq
gamma,0-0.5h,AT1G07230->AT5G64070,432.20417426255625,16,rnaseq
gamma,0-0.5h,AT1G07230->AT4G38530,318.40492614101527,16,rnaseq
gamma,0-0.5h,AT1G07230->AT5G09350,377.4494262106045,16,rnaseq
gamma,0-0.5h,AT1G07230->AT3G47220,277.9557742547089,16,rnaseq
gamma,0-0.5h,AT1G07230->AT1G55180,315.20999693633246,16,rnaseq
gamma,0-0.5h,AT1G07230->AT5G58670,326.99232647939783,16,rnaseq
gamma,0-0.5h,AT1G07230->AT3G03530,295.2369068904344,16,rnaseq
gamma,0-0.5h,AT1G07230->AT4G35790,440.5154474625317,16,rnaseq
gamma,0-0.5h,AT1G09390->AT5G64080,305.42852269529385,16,rnaseq
gamma,0-0.5h,AT1G11080->AT3G16490,248.70385150835108,16,rnaseq
gamma,0-0.5h,AT1G11080->AT1G09790,49.52207209694547,16,rnaseq
gamma,0-0.5h,AT1G11545->AT4G12730,420.30904502465285,16,rnaseq
gamma,0-0.5h,AT1G11580->AT3G54920,442.6472097195518,16,rnaseq
gamma,0-0.5h,AT1G11590->AT3G54920,23.814885488350832,16,rnaseq
gamma,0-0.5h,AT1G12040->AT4G40090,376.9086796179062,16,rnaseq
gamma,0-0.5h,AT1G12040->AT1G70460,352.91237895372154,16,rnaseq
gamma,0-0.5h,AT1G12040->AT5G49270,357.68960388076215,16,rnaseq
gamma,0-0.5h,AT1G12040->AT4G34580,378.0177600237816,16,rnaseq
gamma,0-0.5h,AT1G12040->AT2G20520,343.59061048002394,16,rnaseq
gamma,0-0.5h,AT1G12560->AT4G40090,339.7579042858431,16,rnaseq
gamma,0-0.5h,AT1G12560->AT1G70460,313.0873906934868,16,rnaseq
gamma,0-0.5h,AT1G12560->AT5G49270,318.2817730320394,16,rnaseq
gamma,0-0.5h,AT1G12560->AT2G26420,242.32848215988113,16,rnaseq
gamma,0-0.5h,AT1G12560->AT2G41970,286.5238595446666,16,rnaseq
gamma,0-0.5h,AT1G12560->AT3G60280,258.2811377318528,16,rnaseq
gamma,0-0.5h,AT1G12560->AT5G44610,363.39318121518033,16,rnaseq
gamma,0-0.5h,AT1G12560->AT4G34580,340.63505641331767,16,rnaseq
gamma,0-0.5h,AT1G13620->AT4G26540,138.26309917423333,16,rnaseq
gamma,0-0.5h,AT1G13900->AT4G23260,334.1215610598554,16,rnaseq
gamma,0-0.5h,AT1G14700->AT1G65590,399.66988309745165,16,rnaseq
