ROI,value,time_bin
root,0.7525364394569445,0-0.5h
shoot,0.7619971871253682,0-0.5h
cotyledon,0.7619971871253682,0-0.5h
hypocotyl,0.744080257060241,0-0.5h
root,0.7449523036866407,0.5-2h
shoot,0.7520332361298767,0.5-2h
cotyledon,0.7520332361298767,0.5-2h
hypocotyl,0.7364966379149218,0.5-2h
root,0.6531727190935668,2-6h
shoot,0.6559469823633118,2-6h
cotyledon,0.6559469823633118,2-6h
hypocotyl,0.6445890975471984,2-6h
root,0.7170361974814135,6-12h
shoot,0.7238234336138956,6-12h
cotyledon,0.7238234336138956,6-12h
hypocotyl,0.7094786126509995,6-12h
root,0.7462124945279995,12-30h
shoot,0.7531788852196962,12-30h
cotyledon,0.7531788852196962,12-30h
hypocotyl,0.7403033684510497,12-30h
