"Gene","Module","kME_MEblue","kME_MEturquoise","kME_MEgrey","IsHub"
"ATCG00020","blue",0.732522991832272,0.297157373464532,0.0850537012026497,TRUE
"ATCG00490","blue",0.634885160522481,0.361698193610903,0.2318334927843,FALSE
"AT1G67090","turquoise",0.352337770917744,0.7751623898643,-0.114058781915236,TRUE
"AT2G41310","turquoise",0.0728848442348746,0.711612052977516,-0.013072000521278,TRUE
"ATCG00680","blue",0.621405429921299,0.345271688111415,-0.00627065094362727,FALSE
"ATCG00340","blue",0.724780525827364,0.233028909661601,0.0728044506277327,TRUE
"ATCG00280","blue",0.62039858191102,0.312546727667245,0.551631548924097,FALSE
"ATCG00350","blue",0.676410293711424,0.246629525190509,0.026384969739724,FALSE
"AT2G39730","turquoise",0.465592642613673,0.819184513473535,0.0405170750530581,TRUE
"AT1G29930","turquoise",0.546369541449611,0.610650202585375,0.027686667952923,FALSE
"ATCG00720","blue",0.578894054064962,0.199980705249873,0.0492514995722732,FALSE
"AT5G38410","turquoise",0.403305678821789,0.743938516946428,-0.0537976718760049,TRUE
"ATCG00270","turquoise",0.324541164564193,0.307562444238219,0.387101960765296,FALSE
"ATCG00120","blue",0.70497246564182,0.264678217245917,0.192273988325538,TRUE
"AT1G29910","turquoise",0.0658563251656055,0.50865007395974,-0.488713100520934,FALSE
"AT5G54770","turquoise",0.0336197956454658,0.791890088536816,0.112532257160505,TRUE
"AT1G20620","turquoise",0.199660747166616,0.359656245238367,0.157631983026373,FALSE
"ATCG00480","turquoise",0.327834587433276,0.524824747572191,-0.140169785838318,FALSE
"AT3G01500","turquoise",0.451250884301241,0.689787124573928,0.0774004759148498,FALSE
"AT3G47470","turquoise",0.509100263682552,0.606791433532703,-0.0913885137307865,FALSE
"ATCG00130","blue",0.610111989687925,0.246746042792223,0.129000619139972,FALSE
"ATCG00730","blue",0.632449773730576,0.292564097145599,-0.071183361256585,FALSE
"AT4G10340","turquoise",0.397453212425236,0.802591806547045,-0.0973374493536562,TRUE
"AT3G09260","turquoise",0.239404463309538,0.816965721268249,-0.10476557978005,TRUE
"AT3G27060","grey",0.103930348662023,0.0847971316280185,0.971179586978992,TRUE
"AT1G79040","turquoise",0.443661971830986,0.740176217120072,-0.00221879220528651,TRUE
"AT5G54270","turquoise",0.152358289591791,0.705211791872681,-0.114043620522855,TRUE
"AT3G54890","turquoise",0.365939931828413,0.661585954080648,-0.165766287221043,FALSE
"AT1G29920","turquoise",0.335584281947392,0.510675927712393,-0.193002765451154,FALSE
"ATCG00470","turquoise",0.218279457524076,0.472670852408132,-0.171668368295858,FALSE
"ATCG00580","blue",0.407432192685084,0.380969289184197,0.225972282964717,FALSE
"ATCG00140","blue",0.603008949920092,0.384020981308456,0.234796529465366,FALSE
"AT5G66570","turquoise",0.506045404849186,0.78069329217313,0.000353720496494951,TRUE
"AT1G06680","turquoise",0.268087979934401,0.848864878770339,-0.0556948999935687,TRUE
"AT5G38420","turquoise",0.129911891439964,0.724387420412888,0.0168821146054409,TRUE
"AT4G38970","turquoise",0.449064248504727,0.876422921088173,0.0582674126953502,TRUE
"AT3G60750","turquoise",0.280164963712215,0.910773287485919,0.0710662346977326,TRUE
"AT1G15820","turquoise",0.20371084957232,0.802270242459322,-0.101742877355457,TRUE
"ATCG00670","turquoise",0.367247177692668,0.417498838533792,-0.00118995932871781,FALSE
"AT1G20340","turquoise",0.337835230561451,0.859990996205544,-0.0155637018457779,TRUE
"AT1G61520","turquoise",0.526271785966943,0.71023860055309,-0.0675284584217635,TRUE
"AT5G20250","blue",0.81159560100328,0.0119621840632838,-0.104604797736189,TRUE
"AT5G01530","turquoise",0.44655604862049,0.78210817415911,-0.0183291530001929,TRUE
"AT1G37130","blue",0.917229403820181,0.243005981092032,0.115666602353849,TRUE
"AT5G17920","turquoise",0.263200205801016,0.877677021030291,0.112450961476622,TRUE
"AT4G33010","turquoise",0.254968165155316,0.797446781143482,0.0539906103286385,TRUE
"AT5G02500","turquoise",0.582545501318413,0.752459965271079,0.128336227410123,TRUE
